msg,goodpractices
Add initial structure,0
[ci-skip] GitInspector report added,0
Update jenkinsfile!,0
Update jenkinsfile,0
Update jenkinsfile,0
Merge branch 'master' of github.com:MISW4403-Diseno-y-construccion-de-APIs/202214_BaseProject,0
Update jenkinsfile,0
[ci-skip] GitInspector report added,0
Update jenkinsfile,0
[ci-skip] GitInspector report added,0
Update jenkinsfile,0
[ci-skip] GitInspector report added,0
Update jenkinsfile,0
[ci-skip] GitInspector report added,0
Update jenkinsfile,0
[ci-skip] GitInspector report added,0
Update jenkinsfile,0
[ci-skip] GitInspector report added,0
Update jenkinsfile,0
[ci-skip] GitInspector report added,0
Update jenkinsfile,0
[ci-skip] GitInspector report added,0
Update jenkinsfile,0
[ci-skip] GitInspector report added,0
Update main.ts,0
Update dependencies,0
Fix dependencies,0
Update Jenkinsfile,0
Update sonar-project.properties,0
Update Jenkinsfile,0
Update Jenkinsfile,0
Update README.md,0
Initial commit,0
Initial commit,0
Initial commit,0
Initial commit,0
Initial commit,0
Initial commit,0
Initial commit,0
Updated Jenkins file,0
Error CR [prettier/prettier] solved,0
primeros modulos - falta revisar ventas y compras (dudas),0
Conecction successful - avance en entities pero faltan bastante detallitos,0
basic services for user done,0
user and product services and dto finished,0
Controllers para user y product listos,0
Correcion errores - pruebas en postman de crud user y product correctas,0
Shopping cart implementado,0
Correciones y comment module terminado,0
creacion relaciones,0
"Relaciones user-product y user-comment finalizadas, falta testear en postman",0
correciones modulos y user-shopping-cart completado - faltan pruebas en postman para comprobar todo,0
Correciones de errores con products pero ya todo re bien,0
Correcion relaciones ManyToMany y OneToOne - falta corregirles de los servicios para arriba,0
nuevas relaciones - faltan completar y hacer pruebas de funcionamiento con postman,0
Correciones y product-comment finalizado - falta shoppcartPro para empezar a realizar mas pruebas,0
Shopping-cart-product finalizda - faltan pruebas para hacer mejoras,0
Configuracion auth pero faltan muchas restricciones y pruebas por configurar,0
Se esta adelantando la parte de auth y los guards pero falta probar resto eso,0
Cambios image product y falta cambiar usuario para sus roles,0
Mini cambio para datos de connección a la bd,0
Formato para inserción de datos y mini correción,0
Probando consultas en back y añadiendo servicios image,0
Las pruebas unitarias en servicios estan dando resto de errores,0
Controlador permite filtrar pero falta pensar merjor la paginación,0
Finalizacion asociacion image con product - revisar TODOs,0
Auth debería estar funcionando - faltan pruebas y conectar al front,0
"habia un error re loco, pero ya corregido y auth funcionando",0
estuve probando cosas para ver el error de circular dependecy mejor y efectivamente esta complicado,0
ya solucionado lo de las pruebas pero ahora faltan pruebas con más detalle,0
Ya las pruebas base de todas las relaciones funcionan - falta hacerlas mas robustas,0
tests para usuario listos y aprobados,0
Creacion persistencia Favorite,0
Service favorite,0
Pruebas Logica Favorite,0
Controller DTO y Postman Listo Favorite,0
Creacion asociacion favorite-product,0
Prueba asociacion favorite-product,0
Controlador favorito Product y Postman,0
Update favorite-product.service.ts,0
Asociacion Favorite-user con controlador servicio y pruebas postman,0
